,x,y,CLASS
0,15.464,19.4409,0
1,17.7983,14.8367,0
2,15.0522,17.2602,0
3,15.3265,18.1245,0
4,17.7211,15.0053,0
5,16.7703,16.5096,0
6,14.5202,15.2777,0
7,13.0365,16.5854,0
8,12.9726,17.9263,0
9,15.8985,17.3809,0
10,17.4951,17.3044,0
11,15.429,14.2952,0
12,17.3656,14.5727,0
13,15.3067,17.2094,0
14,16.0827,15.4634,0
15,17.0917,17.56,0
16,16.9116,14.989,0
17,17.4422,16.4065,0
18,16.0756,14.5156,0
19,15.9407,14.9483,0
20,16.3072,14.9,0
21,15.6273,14.0664,0
22,16.2231,18.0958,0
23,18.582,18.2984,0
24,14.6839,12.5133,0
25,18.0406,14.282,0
26,16.9226,15.4166,0
27,16.1448,14.0772,0
28,15.5834,17.4993,0
29,15.3563,15.9997,0
30,15.502,15.2259,0
31,17.5806,14.6431,0
32,19.5359,17.3495,0
33,17.1991,15.8414,0
34,18.0528,16.1468,0
35,15.7983,16.6047,0
36,15.512,17.1197,0
37,17.0188,18.0452,0
38,15.0616,13.7979,0
39,19.2077,14.2998,0
40,15.2413,14.1172,0
41,13.48,15.2144,0
42,17.5143,15.5952,0
43,19.3998,16.5515,0
44,14.3853,17.2844,0
45,12.5038,15.8406,0
46,14.5953,14.5792,0
47,16.4044,16.5052,0
48,14.9307,13.9586,0
49,16.777,14.848,0
50,14.9371,14.3088,0
51,14.8611,14.7618,0
52,18.4363,16.9572,0
53,13.6519,17.5881,0
54,13.0717,20.5201,0
55,14.8945,15.9053,0
56,15.8362,15.5648,0
57,15.2934,16.1949,0
58,15.8895,14.6806,0
59,16.476,15.1737,0
60,14.2752,15.1935,0
61,18.4192,16.271,0
62,17.4179,16.3666,0
63,14.3428,15.3748,0
64,15.7446,15.1492,0
65,17.5479,13.6618,0
66,16.3384,18.499,0
67,16.5278,16.4721,0
68,15.7585,14.776,0
69,17.4294,15.5536,0
70,14.9692,17.9135,0
71,14.9882,16.445,0
72,18.7688,17.8611,0
73,11.8488,16.2259,0
74,14.9125,17.3603,0
75,14.5812,14.6913,0
76,17.2207,15.2994,0
77,14.4517,15.2015,0
78,17.5746,11.7335,1
79,15.1593,16.7917,0
80,15.8593,15.7597,0
81,14.8812,13.6643,0
82,17.5061,15.6569,0
83,16.4077,15.9492,0
84,14.3321,16.4796,0
85,17.3265,14.7527,0
86,16.2282,14.7003,0
87,16.9978,15.0612,0
88,18.5195,18.0621,0
89,15.6272,15.1682,0
90,13.6691,14.7616,0
91,17.2089,15.851,0
92,17.9445,13.4884,0
93,16.6038,15.7889,0
94,15.5254,15.9746,0
95,18.127,16.6261,0
96,17.7556,16.1532,0
97,18.0631,13.9859,0
98,15.2447,13.4001,0
99,16.8611,14.1324,0
100,16.6306,17.1213,0
101,16.2315,16.2718,0
102,15.3492,17.1801,0
103,16.5457,17.3388,0
104,15.4792,14.1565,0
105,15.9852,16.2795,0
106,14.9367,16.9359,0
107,14.9714,15.7472,0
108,15.0812,14.504,0
109,16.0673,16.6687,0
110,14.5134,16.4144,0
111,15.6038,18.5234,0
112,16.5157,15.1785,0
113,16.1788,15.6728,0
114,18.3742,16.2976,0
115,19.1106,17.5936,0
116,15.8487,13.0658,0
117,14.5193,16.6634,0
118,17.521,19.4902,0
119,17.7429,18.1655,0
120,17.6849,16.367,0
121,17.0571,14.0977,0
122,13.2984,18.2434,0
123,16.0727,15.9948,0
124,17.6686,17.5843,0
125,18.1393,10.4202,1
126,13.1623,6.81529,1
127,17.4634,8.65127,1
128,17.4023,8.86944,1
129,14.2923,7.31976,1
130,17.5792,6.69351,1
131,14.9105,3.5546,1
132,14.8898,7.75121,1
133,16.394,8.6561,1
134,18.9102,6.48742,1
135,17.9887,7.13106,1
136,16.8118,4.1841,1
137,15.0836,7.36586,1
138,16.5774,9.56896,1
139,17.9506,7.10765,1
140,14.517,9.44311,1
141,15.9166,8.42649,1
142,16.6646,8.09649,1
143,15.8347,7.95364,1
144,15.61,9.98464,1
145,16.063,7.05982,1
146,16.7968,8.48788,1
147,16.5396,6.56641,1
148,12.9813,8.07702,1
149,17.0785,3.68252,1
150,15.699,7.32908,1
151,14.1085,6.94373,1
152,18.4709,8.60249,1
153,16.9888,8.29333,1
154,19.4182,7.62731,1
155,14.6617,5.08308,1
156,17.9592,10.0375,1
157,16.0899,10.4643,1
158,14.7572,5.59175,1
159,13.6694,6.54048,1
160,13.8108,6.6018,1
161,15.8599,5.92665,1
162,15.6776,8.29735,1
163,13.9861,10.271,1
164,18.0023,6.07867,1
165,18.8984,9.10032,1
166,15.8383,8.23948,1
167,16.1484,6.66557,1
168,15.9478,9.24739,1
169,16.9019,7.06773,1
170,17.2531,6.23929,1
171,19.5515,8.93252,1
172,19.0103,9.5994,1
173,15.9829,8.38472,1
174,17.2588,8.93734,1
175,16.5692,8.65011,1
176,14.0129,7.56813,1
177,16.8909,8.33322,1
178,14.8916,8.64276,1
179,15.4347,4.60389,1
180,14.2902,8.12746,1
181,17.7572,5.78679,1
182,17.4824,7.33767,1
183,15.9216,9.92918,1
184,16.7039,6.25332,1
185,16.5762,10.7403,1
186,14.8297,9.86756,1
187,17.5867,7.25238,1
188,14.8511,7.37453,1
189,15.5677,9.96748,1
190,17.4781,10.4769,1
191,16.1063,6.62133,1
192,16.2928,8.9168,1
193,18.338,6.74959,1
194,17.4109,9.79361,1
195,20.1779,7.4522,1
196,16.8988,5.96699,1
197,16.5832,8.704,1
198,14.9648,5.78802,1
199,18.7261,6.80646,1
200,15.8844,7.2688,1
201,16.803,9.7472,1
202,14.2722,8.28467,1
203,15.9054,9.09486,1
204,15.2714,8.79806,1
205,15.3622,9.17853,1
206,14.5347,6.65277,1
207,14.8409,5.25403,1
208,16.4029,11.4222,1
209,15.5175,11.9222,1
210,16.0587,8.00488,1
211,16.2007,8.18439,1
212,16.8932,6.3268,1
213,16.3277,9.00106,1
214,16.3464,8.23709,1
215,17.1683,9.40932,1
216,17.6443,7.21862,1
217,17.6777,7.29736,1
218,17.9091,6.83092,1
219,15.5988,7.26227,1
220,13.6005,8.42324,1
221,17.1677,8.24945,1
222,16.9085,11.8529,1
223,18.099,10.4017,1
224,16.9169,7.28374,1
225,16.6055,6.87593,1
226,14.7462,7.68021,1
227,14.1696,7.5609,1
228,16.9567,6.20564,1
229,14.7724,8.89887,1
230,16.9047,10.9222,1
231,16.5317,6.80622,1
232,15.2128,7.88061,1
233,15.5922,9.57735,1
234,15.827,5.91739,1
235,13.9933,7.2087,1
236,16.6141,8.39237,1
237,15.3058,6.75483,1
238,18.2146,8.41844,1
239,18.0496,8.05228,1
240,17.4953,7.88137,1
241,17.1874,9.33475,1
242,18.4342,6.78832,1
243,17.6005,8.0358,1
244,17.0468,10.2217,1
245,17.1615,7.42877,1
246,18.6278,8.24253,1
247,14.6087,6.50582,1
248,17.6314,9.52499,1
249,16.4068,9.75788,1
250,8.00367,15.846,2
251,7.26411,13.9474,2
252,6.39372,15.0364,2
253,9.15463,16.3785,2
254,8.52443,16.475,2
255,8.70138,18.7579,2
256,10.4548,16.0178,2
257,9.97829,14.4587,2
258,9.57929,15.6494,2
259,9.35257,14.979,2
260,9.28862,15.4884,2
261,8.87335,17.3693,2
262,6.67182,12.7646,2
263,9.62077,17.1587,2
264,5.44188,17.5114,2
265,11.4145,18.9154,2
266,7.05422,17.5655,2
267,7.72392,14.3238,2
268,6.18903,15.8346,2
269,7.30435,15.2716,2
270,8.28156,15.572,2
271,5.99337,14.4761,2
272,10.4902,16.0243,2
273,6.70819,14.7259,2
274,9.38628,16.0085,2
275,7.92806,14.9601,2
276,5.03059,15.6929,2
277,7.71972,15.6328,2
278,9.10273,18.1849,2
279,6.58843,17.0588,2
280,8.48744,17.1258,2
281,7.63923,15.7581,2
282,7.20107,13.9677,2
283,6.1719,16.5059,2
284,8.13097,13.7908,2
285,7.98238,19.777,2
286,7.38884,15.958,2
287,7.68277,15.6814,2
288,6.14338,12.3154,2
289,5.40961,16.2074,2
290,9.03464,14.4388,2
291,8.61359,15.6232,2
292,5.90306,16.0263,2
293,7.32454,16.3945,2
294,8.58243,15.8941,2
295,5.60588,19.0745,2
296,9.39778,13.941,2
297,8.31401,15.9346,2
298,8.2072,15.1681,2
299,8.99187,14.1901,2
300,10.436,15.4752,2
301,10.1329,13.9166,2
302,7.88948,12.7719,2
303,9.42353,14.8225,2
304,8.50624,15.7466,2
305,6.18488,15.7022,2
306,9.12766,12.7386,2
307,8.80975,18.0694,2
308,6.39952,18.8285,2
309,10.2099,18.4038,2
310,7.0633,16.2998,2
311,11.8946,19.4455,2
312,12.2149,15.8881,0
313,8.26145,18.4163,2
314,10.9564,12.7596,2
315,8.41923,13.0148,2
316,9.62282,14.5564,2
317,8.71585,16.7885,2
318,6.84031,14.6893,2
319,9.7773,13.9378,2
320,5.15724,14.4329,2
321,7.34703,15.2188,2
322,5.10942,16.6099,2
323,10.0034,16.6147,2
324,6.79294,15.1368,2
325,9.43342,15.9654,2
326,10.1574,16.3295,2
327,8.34319,17.2869,2
328,5.74888,15.4298,2
329,7.422,18.9513,2
330,9.23327,14.7617,2
331,7.82402,17.0857,2
332,7.77125,15.3193,2
333,7.34425,16.7552,2
334,7.1186,13.7837,2
335,7.90474,14.9014,2
336,8.97519,16.3387,2
337,7.05559,15.4316,2
338,5.4922,16.5381,2
339,9.02803,16.4178,2
340,8.28359,15.49,2
341,9.15129,16.501,2
342,9.18469,14.3556,2
343,10.1226,16.9522,2
344,8.44229,16.339,2
345,9.32542,13.6244,2
346,9.1501,17.1571,2
347,8.09663,16.4485,2
348,8.46486,12.7597,2
349,6.30164,14.3662,2
350,7.59452,14.5541,2
351,9.13418,14.2814,2
352,9.56085,13.9946,2
353,8.81791,17.0228,2
354,5.65147,14.5423,2
355,6.0198,16.6101,2
356,10.6699,15.2636,2
357,10.7886,15.0358,2
358,6.75722,14.7147,2
359,7.19629,15.0589,2
360,7.86145,15.7645,2
361,7.14878,19.0475,2
362,9.16396,14.2766,2
363,8.50027,13.7519,2
364,7.39092,14.2974,2
365,8.23096,14.2018,2
366,5.7336,16.0945,2
367,10.6546,14.6758,2
368,8.42806,13.9404,2
369,9.09332,13.4586,2
370,9.3682,14.6366,2
371,7.75008,15.3356,2
372,8.02877,15.6413,2
373,7.22927,14.5171,2
374,8.343,16.5276,2
375,10.3691,8.85373,3
376,6.08714,6.70293,3
377,6.14346,7.54939,3
378,8.83083,11.6993,3
379,7.91347,4.88772,3
380,8.11355,8.88167,3
381,6.2628,8.99021,3
382,7.69257,8.03866,3
383,8.43353,6.32012,3
384,4.04603,7.08817,3
385,9.16268,7.08041,3
386,6.93689,10.484,3
387,8.74498,5.14464,3
388,9.64476,9.13954,3
389,9.87291,9.76471,3
390,9.02348,6.26103,3
391,7.70453,7.75383,3
392,5.86631,6.66439,3
393,6.1313,8.59102,3
394,8.24856,10.1532,3
395,8.25014,5.45149,3
396,9.81776,10.6615,3
397,8.03711,5.64944,3
398,6.5162,6.24444,3
399,6.36935,10.1848,3
400,5.92221,8.71366,3
401,9.49784,9.01071,3
402,9.45044,9.4031,3
403,8.38058,12.2461,2
404,7.81199,6.82507,3
405,8.30542,8.63464,3
406,8.57384,7.52176,3
407,8.22387,9.17353,3
408,9.22937,7.14153,3
409,5.85671,6.32409,3
410,9.37551,11.0212,3
411,8.19422,7.25911,3
412,7.75863,8.46392,3
413,9.70463,9.01211,3
414,6.19028,10.0158,3
415,5.65373,7.89255,3
416,8.72062,8.26117,3
417,7.5729,9.56049,3
418,8.1598,9.49969,3
419,7.8763,7.70673,3
420,7.27552,7.42793,3
421,5.66054,9.21104,3
422,11.3261,6.50068,3
423,7.53476,6.14357,3
424,9.78819,9.83214,3
425,5.97952,9.67625,3
426,9.85234,5.78139,3
427,10.6251,6.53997,3
428,8.15078,4.49698,3
429,6.54492,8.99704,3
430,5.20666,6.81258,3
431,7.41026,9.40321,3
432,8.58488,8.01703,3
433,7.56573,8.73308,3
434,7.37894,4.60413,3
435,6.89996,5.18944,3
436,9.42533,5.24455,3
437,8.84378,8.46657,3
438,5.35196,8.70879,3
439,8.77316,5.90064,3
440,7.84852,9.85409,3
441,10.1067,9.61993,3
442,10.4175,6.50257,3
443,9.85595,7.4154,3
444,8.6271,5.80278,3
445,9.35908,8.60315,3
446,5.27074,10.5352,3
447,7.50863,8.73548,3
448,8.41813,9.57543,3
449,7.24952,6.55853,3
450,9.16591,10.2776,3
451,9.75344,8.18142,3
452,7.74416,10.0401,3
453,7.38947,8.35775,3
454,8.55843,7.91471,3
455,7.576,7.78734,3
456,9.59213,6.40626,3
457,5.51864,5.89735,3
458,7.77049,5.03443,3
459,11.6962,9.19788,3
460,8.94527,7.15124,3
461,7.19775,9.62701,3
462,7.42024,5.63104,3
463,4.15326,8.00925,3
464,8.71307,7.1804,3
465,5.59961,4.57756,3
466,8.56854,5.83687,3
467,8.66612,9.94425,3
468,7.13674,7.08224,3
469,8.25383,9.40788,3
470,6.64014,6.66267,3
471,6.20047,9.22588,3
472,7.20658,4.0329,3
473,7.74446,7.43291,3
474,6.03894,5.73051,3
475,9.83675,7.52188,3
476,9.03327,7.99397,3
477,9.29138,7.54258,3
478,8.19547,10.7831,3
479,5.97662,4.51021,3
480,6.06454,5.86596,3
481,9.57935,9.15942,3
482,11.3515,12.9968,2
